original_citation,original_doi,verified_doi,crossref_status,crossref_title_of_original_doi,action
"Kenney WL, Munce TA (2003) Invited review: aging and human temperature regulatio",10.1152/japplphysiol.00202.2003,10.1152/japplphysiol.00202.2003,RESOLVED,Invited Review: Aging and human temperature regulation,OK - DOI resolves and title matches citation
"Liljegren JC, Carhart RA, Lawday P, Tschopp S, Sharp R (2008) Modeling the wet b",10.1080/15459620802310770,10.1080/15459620802310770,RESOLVED,Modeling the Wet Bulb Globe Temperature Using Standard Meteorological Measurements,OK - DOI resolves and title matches citation
"Ministry of Health, Labour and Welfare (MHLW) (2024) Vital Statistics: Annual st",,"(no DOI; government/organizational source, verify URL manually)",NO_DOI,,"NO_DOI - not a CrossRef-indexed journal article; URL-based citation, not independently re-verified in this pass"
Ministry of Internal Affairs and Communications (MIC) (2015) National Survey of ,,"(no DOI; government/organizational source, verify URL manually)",NO_DOI,,"NO_DOI - not a CrossRef-indexed journal article; URL-based citation, not independently re-verified in this pass"
"Ministry of the Environment, Government of Japan (n.d.) Heat Illness Prevention ",,"(no DOI; government/organizational source, verify URL manually)",NO_DOI,,"NO_DOI - not a CrossRef-indexed journal article; URL-based citation, not independently re-verified in this pass"
"Miyatake N, Sakano N, Murakami S (2012) The relation between ambulance transport",10.1007/s12199-011-0221-2,10.1007/s12199-011-0221-2,RESOLVED,"The relation between ambulance transports stratified by heat stroke and air temperature in all 47 prefectures of Japan in August, 2009: ecological study",OK - DOI resolves and title matches citation
"Naughton MP, Henderson A, Mirabelli MC, et al (2002) Heat-related mortality duri",10.1016/S0749-3797(02)00414-X,10.1016/S0749-3797(02)00421-X,HTTP_404,"(mismatched article title, see note)",CORRECTED (found by reference audit)
"Ng CF, Ueda K, Takeuchi A, et al (2014) Sociogeographic variation in the effects",10.2188/jea.JE20130051,10.2188/jea.JE20130051,RESOLVED,Sociogeographic Variation in the Effects of Heat and Cold on Daily Mortality in Japan,OK - DOI resolves and title matches citation
"Oberai M, Xu Z, Bach A, Forbes C, Jackman E, O'Connor F, et al (2025) A digital ",10.1038/s41746-025-01505-5,10.1038/s41746-025-01505-5,RESOLVED,A digital heat early warning system for older adults,OK - DOI resolves and title matches citation
"Oka K, Honda Y, Hui Phung VL, Hijioka Y (2023) Potential effect of heat adaptati",10.1016/j.envres.2022.114666,10.1016/j.envres.2022.114666,RESOLVED,Potential effect of heat adaptation on association between number of heatstroke patients transported by ambulance and wet bulb globe temperature in Japan,OK - DOI resolves and title matches citation
Parsons K (2006) Heat stress standard ISO 7243 and its global application. Ind H,10.2486/indhealth.44.368,10.2486/indhealth.44.368,RESOLVED,Heat Stress Standard ISO 7243 and its Global Application,OK - DOI resolves and title matches citation
"Patel T, Mullen SP, Santee WR (2013) Comparison of methods for estimating wet-bu",10.7205/MILMED-D-13-00117,10.7205/MILMED-D-13-00117,RESOLVED,Comparison of Methods for Estimating Wet-Bulb Globe Temperature Index From Standard Meteorological Measurements,OK - DOI resolves and title matches citation
"Romitti Y, Sue Wing I, Spangler KR, Wellenius GA (2025) The effects of residenti",10.1016/j.envint.2025.109659,10.1016/j.envint.2025.109659,RESOLVED,The effects of residential air conditioning and social vulnerability on heat-related hospitalizations in California,OK - DOI resolves and title matches citation
"Semenza JC, Rubin CH, Falter KH, et al (1996) Heat-related deaths during the Jul",10.1056/NEJM199607113350203,10.1056/NEJM199607113350203,RESOLVED,Heat-Related Deaths during the July 1995 Heat Wave in Chicago,OK - DOI resolves and title matches citation
"Vandentorren S, Bretin P, Zeghnoun A, et al (2006) August 2003 heat wave in Fran",10.1093/eurpub/ckl063,10.1093/eurpub/ckl063,RESOLVED,August 2003 Heat Wave in France: Risk Factors for Death of Elderly People Living at Home,OK - DOI resolves and title matches citation
"Weisskopf MG, Anderson HA, Foldy S, et al (2002) Heat wave morbidity and mortali",10.2105/AJPH.92.5.830,10.2105/AJPH.92.5.830,RESOLVED,"Heat Wave Morbidity and Mortality, Milwaukee, Wis, 1999 vs 1995: An Improved Response?",OK - DOI resolves and title matches citation
"Zhang C, Mohamad E, Azlan AA, Wu A, Ma Y, Qi Y (2025) Social media and eHealth l",10.2196/66058,10.2196/66058,RESOLVED,Social Media and eHealth Literacy Among Older Adults: Systematic Literature Review,OK - DOI resolves and title matches citation
